WKT
"LINESTRING (114.2845590 30.5791660, 114.2846670 30.5791474, 114.2846861 30.5791435, 114.2849835 30.5790827, 114.2850545 30.5790582, 114.2853053 30.5789719, 114.2855843 30.5788287, 114.2858847 30.5786532)"
"LINESTRING (114.2858847 30.5786532, 114.2862334 30.5785101, 114.2867130 30.5782294, 114.2871254 30.5779991, 114.2872913 30.5779022)"
"LINESTRING (114.2872913 30.5779022, 114.2876480 30.5776513, 114.2878343 30.5775829)"
"LINESTRING (114.2878343 30.5775829, 114.2879593 30.5774842, 114.2881920 30.5772779, 114.2884710 30.5769886, 114.2886594 30.5767781, 114.2887336 30.5766930, 114.2888867 30.5765886, 114.2890693 30.5765028)"
"LINESTRING (114.2834041 30.5739280, 114.2834324 30.5739979, 114.2834450 30.5740289, 114.2836460 30.5746970)"
"LINESTRING (114.2836460 30.5746970, 114.2834450 30.5740289, 114.2834324 30.5739979, 114.2834041 30.5739280)"
"LINESTRING (114.2875525 30.5739280, 114.2879207 30.5745238)"
"LINESTRING (114.2879207 30.5745238, 114.2883483 30.5752521)"
"LINESTRING (114.2883483 30.5752521, 114.2885207 30.5755457)"
"LINESTRING (114.2885207 30.5755457, 114.2887143 30.5758754)"
"LINESTRING (114.2887143 30.5758754, 114.2888898 30.5761744, 114.2890693 30.5765028)"
"LINESTRING (114.2830250 30.5771813, 114.2830717 30.5771643)"
"LINESTRING (114.2830717 30.5771643, 114.2830250 30.5771813)"
"LINESTRING (114.2830250 30.5768738, 114.2831357 30.5768494, 114.2835829 30.5767506, 114.2838220 30.5766831, 114.2842054 30.5765748, 114.2844917 30.5764600)"
"LINESTRING (114.2844917 30.5764600, 114.2842054 30.5765748, 114.2838220 30.5766831, 114.2835829 30.5767506, 114.2831357 30.5768494, 114.2830250 30.5768738)"
"LINESTRING (114.2848394 30.5741694, 114.2847316 30.5739280)"
"LINESTRING (114.2847316 30.5739280, 114.2848394 30.5741694)"
"LINESTRING (114.2839369 30.5791660, 114.2837763 30.5788009, 114.2836550 30.5784483, 114.2836018 30.5783026)"
"LINESTRING (114.2836018 30.5783026, 114.2835858 30.5782588, 114.2835604 30.5781893)"
"LINESTRING (114.2835604 30.5781893, 114.2834780 30.5779634, 114.2834635 30.5779343, 114.2832670 30.5775418, 114.2832075 30.5774228)"
"LINESTRING (114.2832075 30.5774228, 114.2831937 30.5773953, 114.2830845 30.5771886, 114.2830717 30.5771643)"
"LINESTRING (114.2830717 30.5771643, 114.2830250 30.5770759)"
"LINESTRING (114.2836460 30.5746970, 114.2837977 30.5752539, 114.2839071 30.5754740, 114.2840713 30.5757343)"
"LINESTRING (114.2840713 30.5757343, 114.2842541 30.5760372, 114.2842859 30.5760899, 114.2844483 30.5763870, 114.2844575 30.5764039, 114.2844917 30.5764600)"
"LINESTRING (114.2844917 30.5764600, 114.2845230 30.5765115, 114.2846346 30.5766949, 114.2847547 30.5769267, 114.2847681 30.5769527)"
"LINESTRING (114.2847681 30.5769527, 114.2847901 30.5769951, 114.2848909 30.5771416, 114.2849748 30.5772635)"
"LINESTRING (114.2849748 30.5772635, 114.2850756 30.5774100, 114.2850912 30.5774327, 114.2852032 30.5775955, 114.2852141 30.5776106)"
"LINESTRING (114.2852141 30.5776106, 114.2852318 30.5776353)"
