WKT,networkGrp
"LINESTRING (2550905.98884166 6672124.8129536,2550884.14406859 6672115.78088048,2550692.13610286 6672000.93451992)","0"
"LINESTRING (2551136.70363339 6672030.92140278,2551093.92978582 6672039.91346672,2551041.63597294 6672111.64993231)","0"
"LINESTRING (2550885.98371526 6672158.48068132,2550679.31632289 6672035.90254609,2550677.32818455 6672029.34104004,2550692.13610286 6672000.93451992)","0"
"LINESTRING (2552529.26666905 6671861.65255069,2552495.95504002 6671994.58306208)","0"
"LINESTRING (2552450.13711342 6671958.45476959,2552394.47748958 6671930.76841477,2552322.75601787 6671906.87293007,2552302.77564009 6671904.87247091,2552263.81307845 6671910.05366014,2552225.46923206 6671927.74772144)","0"
"LINESTRING (2552097.85714949 6671828.46493317,2552100.10927299 6671880.11678876,2552039.31018782 6672058.02762444)","0"
"LINESTRING (2552225.46923206 6671927.74772144,2552280.01516845 6671938.78025372,2552298.18064817 6671947.17217991,2552325.94033902 6671965.87647309)","0"
"LINESTRING (2552707.5061581 6671918.55561158,2552699.03388395 6671952.63343343,2552689.98414223 6671988.82173969)","0"
"LINESTRING (2552385.36175158 6671970.1474534,2552345.50823998 6671956.98443211,2552336.93697139 6671956.87440685,2552325.94033902 6671965.87647309)","0"
"LINESTRING (2552608.38797514 6671893.3998376,2552600.12193941 6671928.92799234,2552568.92219177 6672052.84643521)","0"
"LINESTRING (2552495.95504002 6671994.58306208,2552450.13711342 6671958.45476959)","0"
"LINESTRING (2552192.64432569 6671895.10022789,2552162.44277199 6671917.26531542,2552112.11234883 6671967.38681976,2552091.99997846 6671994.20297484,2552071.81336226 6672026.10029619,2552059.4473068 6672054.97692422,2552050.55430629 6672064.16903407)","0"
"LINESTRING (2552445.84735436 6672020.79907941,2552448.34696397 6672005.37553926,2552444.98115301 6672000.17434544,2552421.17299021 6671985.53098437,2552385.36175158 6671970.1474534)","0"
"LINESTRING (2552225.46923206 6671927.74772144,2552204.41641451 6671940.43063253,2552173.04342659 6671965.96649375,2552159.87716609 6671979.90969412,2552129.89834987 6672026.35035359,2552126.23555559 6672046.62500721,2552129.92309848 6672065.87942666,2552135.96175931 6672077.81216556,2552135.65652646 6672092.00542333)","0"
"LINESTRING (2552495.95504002 6671994.58306208,2552487.45801726 6672030.54131554)","0"
"LINESTRING (2552385.36175158 6671970.1474534,2552384.07482386 6671979.85968264,2552397.71955749 6672026.42036966,2552394.40324375 6672059.57798029)","0"
"LINESTRING (2552325.94033902 6671965.87647309,2552343.34686137 6671989.0317879,2552348.74205835 6672011.99705909,2552350.58995456 6672084.73375427)","0"
"LINESTRING (2552487.45801726 6672030.54131554,2552445.84735436 6672020.79907941)","0"
"LINESTRING (2552689.98414223 6671988.82173969,2552665.84599797 6672078.38229643)","0"
"LINESTRING (2552274.28999001 6672061.33838435,2552229.7754902 6672054.42679795,2552217.90440694 6672044.52452509,2552217.13720003 6672017.59834475)","0"
"LINESTRING (2552274.28999001 6672061.33838435,2552281.69807392 6672052.98646735,2552283.80170577 6672035.13236932,2552277.03708571 6672028.17077143,2552217.13720003 6672017.59834475)","0"
"LINESTRING (2552445.84735436 6672020.79907941,2552441.58234391 6672039.05326928,2552394.40324375 6672059.57798029)","0"
"LINESTRING (2552568.92219177 6672052.84643521,2552528.07873577 6672041.64386389,2552487.45801726 6672030.54131554)","0"
"LINESTRING (2552050.55430629 6672064.16903407,2552039.31018782 6672058.02762444)","0"
"LINESTRING (2552665.84599797 6672078.38229643,2552615.25158964 6672065.2892912,2552568.92219177 6672052.84643521)","0"
"LINESTRING (2552268.39982083 6672073.28112556,2552274.28999001 6672061.33838435)","0"
"LINESTRING (2552394.40324375 6672059.57798029,2552350.58995456 6672084.73375427)","0"
"LINESTRING (2552135.65652646 6672092.00542333,2552050.55430629 6672064.16903407)","0"
"LINESTRING (2552350.58995456 6672084.73375427,2552337.41544452 6672086.26410553,2552268.39982083 6672073.28112556)","0"
"LINESTRING (2552268.39982083 6672073.28112556,2552267.02214821 6672090.43506288)","0"
"LINESTRING (2552199.21095687 6672085.16385299,2552158.169512 6672075.95173854,2552146.07569126 6672080.21271656,2552135.65652646 6672092.00542333)","0"
"LINESTRING (2552267.02214821 6672090.43506288,2552223.56358909 6672089.83492513,2552199.21095687 6672085.16385299)","0"
"LINESTRING (2552350.58995456 6672084.73375427,2552360.43165179 6672117.50127536)","0"
"LINESTRING (2552951.60169829 6671978.96947831,2552932.00904872 6672051.656162)","0"
"LINESTRING (2552932.00904872 6672051.656162,2552689.98414223 6671988.82173969)","0"
"LINESTRING (2553033.42060287 6672024.9000207,2553023.999632 6672035.85253462)","0"
"LINESTRING (2553104.28412277 6672154.27971708,2553023.999632 6672035.85253462)","0"
"LINESTRING (2552932.00904872 6672051.656162,2552909.71055114 6672140.62658329)","0"
"LINESTRING (2552909.71055114 6672140.62658329,2552665.84599797 6672078.38229643)","0"
"LINESTRING (2553078.10834295 6672215.47376288,2552909.71055114 6672140.62658329)","0"
"LINESTRING (2553104.28412277 6672154.27971708,2553078.10834295 6672215.47376288)","0"
"LINESTRING (2552909.71055114 6672140.62658329,2552883.72451066 6672239.7993463)","0"
"LINESTRING (2552883.72451066 6672239.7993463,2552708.0011303 6672220.48491308)","0"
"LINESTRING (2553258.68245087 6671752.25744135,2553307.89918657 6671743.00531772,2553327.45883799 6671743.2753797,2553356.24147139 6671753.04762272,2553364.41676222 6671759.24904612,2553372.22907344 6671765.19040984,2553384.33939325 6671781.11406478,2553425.45508396 6671872.69508527,2553439.41329999 6671885.36799406,2553475.3317826 6671896.30050339,2553498.72746856 6671899.16116,2553558.35511953 6671918.17552434,2553586.85726869 6671931.4285663)","0"
"LINESTRING (2553477.5591575 6672131.24442981,2553501.58180825 6672095.44621309,2553524.68876043 6672067.95990418,2553578.23650288 6672029.55108825,2553588.5484237 6672013.887493,2553596.97945017 6671997.58375082,2553598.40662001 6671985.60100044,2553597.391927 6671967.89693684,2553586.85726869 6671931.4285663)","0"
"LINESTRING (2553586.85726869 6671931.4285663,2553627.29649739 6671954.93396147,2553641.70018839 6671969.75736386,2553651.42639211 6671986.52121165,2553655.7656484 6672008.52626245,2553650.58493937 6672047.01509675,2553639.50581164 6672079.43253749,2553636.56897659 6672147.20809393,2553619.97090883 6672194.18887738)","0"
"LINESTRING (2553619.97090883 6672194.18887738,2553581.2558333 6672168.17290596,2553554.25509981 6672157.40043337,2553503.89992805 6672151.73913394,2553477.5591575 6672131.24442981)","0"
"LINESTRING (2553432.65692946 6672199.62012401,2553477.5591575 6672131.24442981)","0"
"LINESTRING (2553388.97563286 6672231.98755327,2553347.71145049 6672197.2495799,2553290.17918183 6672173.03402173)","0"
"LINESTRING (2553388.97563286 6672231.98755327,2553432.65692946 6672199.62012401)","0"
"LINESTRING (2553499.8164074 6672266.72552664,2553477.25392464 6672208.93226141,2553439.60303933 6672204.06114335,2553432.65692946 6672199.62012401)","0"
"LINESTRING (2553619.97090883 6672194.18887738,2553578.59948249 6672290.31094017)","0"
"LINESTRING (2553923.43011482 6672945.05122199,2553923.57035695 6672935.09893765,2553934.64948468 6672924.74656148,2553958.67213543 6672914.24415088,2553978.08329519 6672908.72288359,2554043.27113386 6672907.63263334,2554059.48972293 6672917.07480059,2554066.11410087 6672926.41694488,2554065.3551435 6672955.5536326)","0"
"LINESTRING (2553923.43011482 6672945.05122199,2553943.57548334 6672977.86875456)","0"
"LINESTRING (2554065.3551435 6672955.5536326,2554105.73662544 6672962.69527181,2554136.8043805 6672976.64847447)","0"
"LINESTRING (2553943.57548334 6672977.86875456,2553993.17169773 6672961.66503534,2554065.3551435 6672955.5536326)","0"
"LINESTRING (2553207.57657127 6672316.24689322,2553198.62582399 6672295.57214777,2553104.28412277 6672154.27971708)","0"
"LINESTRING (2553207.57657127 6672316.24689322,2553290.17918183 6672173.03402173)","0"
"LINESTRING (2553078.10834295 6672215.47376288,2553042.49509319 6672305.49442522)","0"
"LINESTRING (2553042.49509319 6672305.49442522,2552883.72451066 6672239.7993463)","0"
"LINESTRING (2552708.0011303 6672220.48491308,2552727.46178727 6672281.32887853,2552747.31017247 6672343.37311948)","0"
"LINESTRING (2552883.72451066 6672239.7993463,2552850.64386866 6672373.59005514)","0"
"LINESTRING (2553180.96356601 6672364.46796135,2553042.49509319 6672305.49442522)","0"
"LINESTRING (2553205.55543479 6672358.11650351,2553207.57657127 6672316.24689322)","0"
"LINESTRING (2553205.55543479 6672358.11650351,2553224.13339134 6672354.19560355,2553237.89361849 6672345.4635993,2553271.79096462 6672331.73044715)","0"
"LINESTRING (2552850.64386866 6672373.59005514,2552747.31017247 6672343.37311948)","0"
"LINESTRING (2553361.90065354 6672271.62665159,2553373.74698818 6672246.00076971,2553388.97563286 6672231.98755327)","0"
"LINESTRING (2553578.59948249 6672290.31094017,2553499.8164074 6672266.72552664)","0"
"LINESTRING (2553361.90065354 6672271.62665159,2553429.75309256 6672314.68653508,2553444.29702569 6672322.42831204,2553455.61538998 6672324.58880793,2553476.35472514 6672321.20803195,2553486.14692516 6672313.64629631,2553500.1546384 6672290.12089655,2553502.63774894 6672279.79852727,2553499.8164074 6672266.72552664)","0"
"LINESTRING (2553271.79096462 6672331.73044715,2553309.26036012 6672316.44693914,2553351.65472901 6672284.36957646,2553361.90065354 6672271.62665159)","0"
"LINESTRING (2553271.79096462 6672331.73044715,2553277.63163657 6672344.34334217,2553285.59243945 6672351.4349699,2553382.57399241 6672376.15064287)","0"
"LINESTRING (2553578.59948249 6672290.31094017,2553540.83310367 6672381.091777,2553523.07185124 6672407.91793438,2553505.42609233 6672426.9923125,2553482.73161698 6672438.92505141,2553418.14599448 6672454.12854105,2553388.76939444 6672466.1813075)","0"
"LINESTRING (2553388.76939444 6672466.1813075,2553364.7714923 6672479.76442522,2553347.34022134 6672495.86812149,2553314.408071 6672538.80797742,2553314.07808953 6672538.94800957,2553302.1657586 6672544.04918043)","0"
"LINESTRING (2553309.49959669 6672526.2050847,2553300.36735961 6672508.36098896)","0"
"LINESTRING (2553388.76939444 6672466.1813075,2553389.99032586 6672501.10932449,2553349.30361106 6672558.85257824,2553318.40909628 6672569.25496589,2553299.92188463 6672575.48639618)","0"
"LINESTRING (2553265.88429637 6672521.71405388,2553279.57027769 6672525.15484364,2553302.1657586 6672544.04918043)","0"
"LINESTRING (2553205.55543479 6672358.11650351,2553180.96356601 6672364.46796135)","0"
"LINESTRING (2553205.55543479 6672358.11650351,2553224.11689227 6672386.71306725)","0"
"LINESTRING (2553224.11689227 6672386.71306725,2553180.96356601 6672364.46796135)","0"
"LINESTRING (2552747.31017247 6672343.37311948,2552739.55560802 6672439.63521441)","0"
"LINESTRING (2552850.64386866 6672373.59005514,2552844.26697682 6672450.79777654)","0"
"LINESTRING (2553224.11689227 6672386.71306725,2553240.3272318 6672440.57543022)","0"
"LINESTRING (2553180.96356601 6672364.46796135,2553140.9945609 6672433.89389661,2553137.73599392 6672468.14175749)","0"
"LINESTRING (2553137.73599392 6672468.14175749,2553122.54859693 6672469.62209727,2552850.64386866 6672373.59005514)","0"
"LINESTRING (2553240.3272318 6672440.57543022,2553137.73599392 6672468.14175749)","0"
"LINESTRING (2553240.3272318 6672440.57543022,2553257.57701296 6672503.50987549,2553265.88429637 6672521.71405388)","0"
"LINESTRING (2552739.55560802 6672439.63521441,2552733.04672359 6672525.65495843)","0"
"LINESTRING (2552844.26697682 6672450.79777654,2552837.80758962 6672534.05688691)","0"
"LINESTRING (2553265.88429637 6672521.71405388,2553156.41294491 6672481.78488898,2553137.73599392 6672468.14175749)","0"
"LINESTRING (2553149.54933041 6672557.95237162,2553078.0671049 6672532.86199597,2552950.82301492 6672488.19911658,2552844.26697682 6672450.79777654)","0"
"LINESTRING (2552837.80758962 6672534.05688691,2552787.72616627 6672530.04030559,2552733.04672359 6672525.65495843)","0"
"LINESTRING (2552733.04672359 6672525.65495843,2552728.44348214 6672593.18045748,2552716.87763174 6672731.24214663)","0"
"LINESTRING (2552837.80758962 6672534.05688691,2552830.96423646 6672622.61068802,2552821.91073248 6672739.76410266)","0"
"LINESTRING (2553015.34586805 6672745.81549163,2553064.85958707 6672720.68972454,2553141.88551086 6672701.85540152,2553171.03937341 6672675.19928317,2553186.86198472 6672618.36623834,2553176.99553888 6672590.14976185,2553149.54933041 6672557.95237162)","0"
"LINESTRING (2552821.91073248 6672739.76410266,2552716.87763174 6672731.24214663)","0"
"LINESTRING (2552821.91073248 6672739.76410266,2552820.54955893 6672756.44793208)","0"
"LINESTRING (2552261.42071282 6672125.61313727,2552225.05675523 6672122.25236587,2552210.68606237 6672116.80111465,2552205.54660103 6672110.75972798,2552199.21095687 6672085.16385299)","0"
"LINESTRING (2552050.55430629 6672064.16903407,2552022.74511821 6672148.88847963)","0"
"LINESTRING (2552267.02214821 6672090.43506288,2552261.42071282 6672125.61313727)","0"
"LINESTRING (2552487.45801726 6672030.54131554,2552443.66947668 6672192.64852383)","0"
"LINESTRING (2552360.43165179 6672117.50127536,2552338.58687872 6672125.7831763,2552308.78955231 6672129.94413136,2552261.42071282 6672125.61313727)","0"
"LINESTRING (2552135.65652646 6672092.00542333,2552116.30311346 6672159.02080529)","0"
"LINESTRING (2552568.92219177 6672052.84643521,2552530.19061716 6672202.12069796)","0"
"LINESTRING (2552135.65652646 6672092.00542333,2552150.86042252 6672095.10613503,2552159.32444713 6672103.23800153,2552186.60566486 6672156.87031169,2552186.17668895 6672165.95239629)","0"
"LINESTRING (2552665.84599797 6672078.38229643,2552630.09250609 6672212.5430902)","0"
"LINESTRING (2552261.42071282 6672125.61313727,2552253.08868079 6672172.79396663)","0"
"LINESTRING (2550945.1988894 6672062.23859098,2550905.98884166 6672124.8129536)","0"
"LINESTRING (2551188.72521156 6672244.90051717,2551136.70363339 6672030.92140278)","0"
"LINESTRING (2550905.98884166 6672124.8129536,2550885.98371526 6672158.48068132)","0"
"LINESTRING (2551188.72521156 6672244.90051717,2551176.29315981 6672228.55676581,2551150.65359988 6672205.18140048,2551035.06109222 6672120.67200314,2550945.1988894 6672062.23859098)","0"
"LINESTRING (2550885.98371526 6672158.48068132,2550859.79968591 6672193.22865698)","0"
"LINESTRING (2550834.01163431 6672229.25692651,2550722.79138108 6672165.14221033,2550709.97985065 6672163.26177872,2550702.34902924 6672166.55253404,2550687.17813132 6672187.56735755)","0"
"LINESTRING (2551159.15887217 6672286.41004481,2551001.2792396 6672187.04723817,2550905.98884166 6672124.8129536)","0"
"LINESTRING (2550834.01163431 6672229.25692651,2550859.79968591 6672193.22865698)","0"
"LINESTRING (2550942.87252006 6672249.76163294,2550859.79968591 6672193.22865698)","0"
"LINESTRING (2550942.87252006 6672249.76163294,2550926.04346528 6672273.37705336)","0"
"LINESTRING (2552665.84599797 6672078.38229643,2552708.0011303 6672220.48491308)","0"
"LINESTRING (2552360.43165179 6672117.50127536,2552400.56564764 6672187.87742872)","0"
"LINESTRING (2552116.30311346 6672159.02080529,2552022.74511821 6672148.88847963)","0"
"LINESTRING (2552186.17668895 6672165.95239629,2552116.30311346 6672159.02080529)","0"
"LINESTRING (2552253.08868079 6672172.79396663,2552186.17668895 6672165.95239629)","0"
"LINESTRING (2552400.56564764 6672187.87742872,2552253.08868079 6672172.79396663)","0"
"LINESTRING (2552443.66947668 6672192.64852383,2552400.56564764 6672187.87742872)","0"
"LINESTRING (2552530.19061716 6672202.12069796,2552487.98598761 6672197.13955465,2552443.66947668 6672192.64852383)","0"
"LINESTRING (2552116.30311346 6672159.02080529,2552089.27763136 6672241.84981695)","0"
"LINESTRING (2552630.09250609 6672212.5430902,2552530.19061716 6672202.12069796)","0"
"LINESTRING (2552022.74511821 6672148.88847963,2552001.87379046 6672212.11299148)","0"
"LINESTRING (2551318.94414772 6672449.85756073,2551241.81097996 6672263.93488611,2551189.78115225 6672020.54902202)","0"
"LINESTRING (2551318.94414772 6672449.85756073,2551336.3589196 6672432.70362341,2551376.44341823 6672068.3900029)","0"
"LINESTRING (2552001.87379046 6672212.11299148,2551966.28528932 6672312.33599556)","0"
"LINESTRING (2551374.3892836 6672043.31424729,2551380.06496482 6672051.49612527,2551417.1466321 6672056.9373742,2551426.07263076 6672063.06878153,2551429.90041577 6672071.31067328,2551382.69656701 6672509.32120936,2551355.99281685 6672543.76911615)","0"
"LINESTRING (2552056.98894488 6672339.29218278,2551966.28528932 6672312.33599556)","0"
"LINESTRING (2551966.28528932 6672312.33599556,2551946.31316107 6672357.30631755,2551931.95896728 6672378.67122141)","0"
"LINESTRING (2552032.28158259 6672414.09935319,2551931.95896728 6672378.67122141)","0"
"LINESTRING (2551302.58531652 6672478.3741061,2551292.96635678 6672469.26201462,2551260.94990501 6672387.21318204,2551229.33768053 6672340.97256848)","0"
"LINESTRING (2551931.95896728 6672378.67122141,2551873.26351396 6672421.35101766,2551849.59559328 6672448.04714519)","0"
"LINESTRING (2552270.37970963 6672251.59205307,2552183.70182796 6672186.89720373,2552186.17668895 6672165.95239629)","0"
"LINESTRING (2552708.0011303 6672220.48491308,2552630.09250609 6672212.5430902)","0"
"LINESTRING (2552089.27763136 6672241.84981695,2552001.87379046 6672212.11299148)","0"
"LINESTRING (2552443.66947668 6672192.64852383,2552440.7491407 6672213.753368,2552505.90398123 6672310.61560068,2552507.91686818 6672319.74769676)","0"
"LINESTRING (2552222.56539516 6672317.37715265,2552144.27729227 6672259.27381626,2552089.27763136 6672241.84981695)","0"
"LINESTRING (2552270.37970963 6672251.59205307,2552222.56539516 6672317.37715265)","0"
"LINESTRING (2552089.27763136 6672241.84981695,2552056.98894488 6672339.29218278)","0"
"LINESTRING (2552389.93199489 6672339.51223329,2552270.37970963 6672251.59205307)","0"
"LINESTRING (2552443.66947668 6672192.64852383,2552434.60323589 6672210.67266089,2552435.13120624 6672218.54446769,2552484.57892897 6672314.25643636,2552493.25744154 6672339.08213457,2552487.86224456 6672410.31848537)","0"
"LINESTRING (2552747.31017247 6672343.37311948,2552507.91686818 6672319.74769676)","0"
"LINESTRING (2551229.33768053 6672340.97256848,2551228.24874169 6672315.8267968,2551215.45371033 6672284.31956498,2551188.72521156 6672244.90051717)","0"
"LINESTRING (2550841.0979863 6672371.13949266,2550768.28757575 6672318.80748095,2550834.01163431 6672229.25692651)","0"
"LINESTRING (2551229.33768053 6672340.97256848,2551159.15887217 6672286.41004481)","0"
"LINESTRING (2551124.76655384 6672382.37207086,2550942.87252006 6672249.76163294)","0"
"LINESTRING (2550926.04346528 6672273.37705336,2550841.0979863 6672371.13949266)","0"
"LINESTRING (2551108.06124211 6672405.62740864,2550926.04346528 6672273.37705336)","0"
"LINESTRING (2551108.06124211 6672405.62740864,2551124.76655384 6672382.37207086)","0"
"LINESTRING (2550968.42958463 6672463.97080013,2550841.0979863 6672371.13949266)","0"
"LINESTRING (2551280.31156754 6672498.72877809,2551249.64803978 6672471.85260923,2551124.76655384 6672382.37207086)","0"
"LINESTRING (2550968.42958463 6672463.97080013,2550922.85914413 6672528.19554156,2550794.16637225 6672436.71454403,2550841.0979863 6672371.13949266)","0"
"LINESTRING (2552222.56539516 6672317.37715265,2552179.78329804 6672378.54119157)","0"
"LINESTRING (2552179.78329804 6672378.54119157,2552056.98894488 6672339.29218278)","0"
"LINESTRING (2552343.15712203 6672403.77698391,2552222.56539516 6672317.37715265)","0"
"LINESTRING (2552507.91686818 6672319.74769676,2552498.91662368 6672416.2198399)","0"
"LINESTRING (2552389.93199489 6672339.51223329,2552343.15712203 6672403.77698391)","0"
"LINESTRING (2552487.86224456 6672410.31848537,2552389.93199489 6672339.51223329)","0"
"LINESTRING (2552056.98894488 6672339.29218278,2552032.28158259 6672414.09935319)","0"
"LINESTRING (2552498.91662368 6672416.2198399,2552487.86224456 6672410.31848537)","0"
"LINESTRING (2552299.60781801 6672464.14083916,2552179.78329804 6672378.54119157)","0"
"LINESTRING (2552739.55560802 6672439.63521441,2552498.91662368 6672416.2198399)","0"
"LINESTRING (2552343.15712203 6672403.77698391,2552299.60781801 6672464.14083916)","0"
"LINESTRING (2552178.76860503 6672482.04494867,2552135.4420385 6672451.17786378,2552032.28158259 6672414.09935319)","0"
"LINESTRING (2552483.81172206 6672500.92928317,2552462.94864385 6672493.04747407,2552343.15712203 6672403.77698391)","0"
"LINESTRING (2552487.86224456 6672410.31848537,2552481.39460782 6672484.61553869,2552483.81172206 6672500.92928317)","0"
