WKT
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7633391.12041638 12977336.3519639,7633375.71557735 12977360.9597078,7633366.53416623 12977375.6607866,7633359.86190122 12977386.3248157,7633351.50936584 12977399.6566712,7633339.38016794 12977418.4612504)"
""
""
""
"LINESTRING (7627210.16329535 12976845.2482433,7626694.04331304 12976258.1134961)"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7634778.76024179 12980906.0570494,7635443.38972561 12979832.8099983,7635531.20219072 12979684.5770732,7635540.99901985 12979669.2879388,7635681.39481808 12979450.4454324,7635861.45123577 12979203.8386419)"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7633801.85482135 12978585.6636624,7634541.01609242 12979046.2004364,7634576.96644807 12979068.1619421,7634994.62002675 12979328.9273358,7635223.29412061 12979471.454082,7635365.17162369 12979559.8680774,7635540.99901985 12979669.2879388,7635549.92299703 12979674.9895217)"
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7634760.59369908 12978629.5327388,7634038.44750782 12978194.6399975,7633827.62349023 12978544.5770793,7633830.06006029 12978558.7203914,7634434.6009315 12978930.7079584,7634453.73885595 12978900.5717385,7634554.27093006 12978966.4072736,7634760.59369908 12978629.5327388)"
"LINESTRING (7635357.59635989 12979253.0641219,7635681.39481808 12979450.4454324,7635540.99901985 12979669.2879388,7635365.17162369 12979559.8680774,7635223.29412061 12979471.454082,7635357.59635989 12979253.0641219)"
"LINESTRING (7634970.07949405 12978428.0777529,7635059.56452977 12978483.6567912,7634994.62002675 12979328.9273358,7634576.96644807 12979068.1619421,7634970.07949405 12978428.0777529)"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7633303.45472989 12977396.1883138,7633315.48183137 12977377.2639292,7633323.87906092 12977364.0730435,7633330.63926464 12977353.4449313,7633340.25201523 12977338.3337207,7633355.52660697 12977314.3613123)"
""
""
""
""
""
""
""
""
"LINESTRING (7634541.01609242 12979046.2004364,7634760.38851947 12978693.1408435,7634937.45191479 12978408.1505677,7634949.41353356 12978388.8755117)"
"LINESTRING (7634981.83486745 12978408.9570676,7634970.07949405 12978428.0777529,7634576.96644807 12979068.1619421,7634564.32053596 12979088.744623)"
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7635531.27951625 12980015.2932301,7635463.13575064 12979890.8008016,7635375.89521968 12979754.3583301,7635268.13328766 12979611.6995256,7635138.39431324 12979468.5380234,7634985.27128646 12979330.6166684,7634807.22332698 12979203.5749206,7634584.69193163 12979063.3331933)"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"LINESTRING (7633614.18684801 12978385.4401868,7634638.69931196 12979025.245686,7635101.96400123 12979331.9821719,7635393.18527845 12979425.8659973,7635782.65083576 12979424.8347212,7636021.02330693 12979433.6036808,7636321.4246615 12979439.3230907,7636635.85557494 12979536.4324829,7636836.4631974 12979617.2158978,7637039.32447595 12979693.8185514,7637218.95373498 12979763.9502093,7637347.9475802 12979825.5247244,7637837.81758442 12980124.8414123,7638091.03879539 12980283.0684291)"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
