WKT,networkGrp
"LINESTRING (7631552.98513286 12981873.4086055,7631508.6383546 12981925.4165236,7631353.65745329 12982115.6711832,7631261.50838537 12982228.801282,7631122.69862515 12982399.1254754,7631114.42206264 12982409.2957066,7631016.84465361 12982529.141525,7630946.59055964 12982615.3912551,7630909.09089641 12982661.4203029,7630851.64024578 12982731.9297282,7630763.76795745 12982839.7926394,7630694.14772226 12982925.2253258,7630688.34819965 12982932.3381421,7630266.36265003 12983450.2186183,7630252.40673604 12983467.4793193,7630168.01751099 12983571.558544,7630028.99582481 12983743.004347,7629824.12757702 12983995.6500753,7629818.19181214 12984002.9780219,7629660.80442048 12984192.0284673,7629555.15535115 12984318.9196799,7629473.20933793 12984417.3404909,7629316.24100853 12984605.8247654)",
"LINESTRING (7629613.49295464 12979886.331962,7629811.32782311 12980107.3812954)",
"LINESTRING (7631871.24659849 12980419.8351093,7631918.92060028 12980445.3395264,7631962.75963077 12980437.2267884,7632018.90937904 12980423.0539509,7632141.79387149 12980396.5627549,7632160.19104918 12980398.6631441,7632176.39132879 12980408.1230182,7631983.84253212 12980667.8349479,7631973.10513244 12980677.0034158,7631958.3256221 12980680.4706658,7631944.8531636 12980677.7963886,7631929.41167732 12980627.6244725,7631894.28481024 12980487.8316524,7631886.39284196 12980467.5404465,7631862.93114054 12980441.1028351)",
"LINESTRING (7630630.40384625 12985369.1029241,7630948.87274042 12984866.4580087,7630954.76998155 12984856.8221021,7631276.30258181 12984331.0549254,7631288.52618291 12984311.1255865,7631470.20106876 12984015.602909,7631636.98372553 12983744.2593768,7631814.52837929 12983460.004466,7631884.26129609 12983348.3692119,7631966.5297283 12983215.8640264,7631976.50755229 12983199.5297964,7632298.12434196 12982672.330011,7632337.40108691 12982607.2162924)",
"LINESTRING (7629588.64715736 12979905.9111449,7629251.62329948 12979537.3617746)",
"LINESTRING (7626236.11047205 12984748.672786,7626248.72879508 12984728.014808,7626810.92077478 12983822.9989505,7627136.76764347 12983294.8930616,7627164.29142689 12983249.7396171,7627502.24037609 12982685.2631193,7627818.38050368 12982179.1019827,7627823.24124046 12982171.3345681,7628046.52670276 12981813.7212535,7628153.75883302 12981641.9402799,7628224.30146864 12981555.4841292,7628241.98062104 12981533.8262884,7628323.80174083 12981431.8407972,7628659.98433748 12981021.110145,7628741.73359518 12980921.235869,7628827.17913895 12980816.4828893,7628959.79400631 12980653.8844483,7629164.8756562 12980402.7800554,7629176.09007442 12980388.9807102,7629256.64643226 12980289.895689,7629347.15206682 12980178.8964776,7629371.81809852 12980148.6572724)",
"LINESTRING (7629555.42292388 12979969.258222,7629678.68078694 12979889.3709836)",
"LINESTRING (7630150.25965249 12980507.5006395,7630107.66406083 12980484.4922252)",
"LINESTRING (7629796.62595886 12980152.3413531,7629754.77037886 12980116.6644141,7629712.14695821 12980087.2547662,7629674.95201465 12980067.554025,7629640.06181752 12980057.087423,7629608.93969511 12980042.4096243,7629566.49312615 12980023.8114814,7629529.79170165 12979982.9035651,7629517.91990807 12979931.3750117)",
"LINESTRING (7629797.45731394 12980119.850185,7629588.64715736 12979905.9111449)",
